,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
90,Cameron Bragg,eng ENG,MF,Crawley Town,19,2005,6,2,220,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
91,Cohen Bramall,eng ENG,"MF,DF",Rotherham United,28,1996,16,5,802,8.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
92,Alejandro Bran,cr CRC,MF,Burton Albion,23,2001,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
93,James Brophy,eng ENG,MF,Cambridge United,30,1994,46,43,"3,594",39.9,3,6,9,3,0,0,5,0,0.08,0.15,0.23,0.08,0.23,Matches
94,Patrick Brough,eng ENG,DF,Northampton Town,28,1996,5,1,99,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
95,Jordan Brown,eng ENG,MF,Leyton Orient,23,2001,44,38,"3,369",37.4,2,1,3,2,0,0,6,0,0.05,0.03,0.08,0.05,0.08,Matches
96,Lewis Brunt,eng ENG,DF,Wrexham,23,2000,22,21,"1,896",21.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
97,Lee Buchanan,eng ENG,"DF,MF",Birmingham City,23,2001,3,3,136,1.5,1,0,1,1,0,0,0,0,0.66,0,0.66,0.66,0.66,Matches
98,Lee Burge,eng ENG,GK,Northampton Town,31,1993,30,30,"2,674",29.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
99,Rumarn Burrell,jm JAM,FW,Burton Albion,23,2000,30,26,"2,139",23.8,11,2,13,11,0,0,0,0,0.46,0.08,0.55,0.46,0.55,Matches
100,Callum Burton,eng ENG,GK,Wrexham,27,1996,4,4,292,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,Matt Butcher,eng ENG,MF,Wycombe Wanderers,27,1997,13,3,263,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
102,Matt Butcher,eng ENG,MF,Bristol Rovers,27,1997,18,17,"1,466",16.3,0,3,3,0,0,0,3,0,0,0.18,0.18,0,0.18,Matches
