,,,,,,,,Standard,,,,,,,,,,,,,,,,,,
722,Thomas Waddingham,au AUS,FW,Portsmouth,19,2005,1.1,1,4,2,50,3.5,1.75,0.25,0.5,0,0,Matches,,,,,,,,
723,Ben Waine,nz NZL,FW,Plymouth Argyle,23,2001,0.1,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
724,Jed Wallace,eng ENG,"MF,FW",West Bromwich Albion,30,1994,9,1,14,4,28.6,1.56,0.44,0.07,0.25,0,0,Matches,,,,,,,,
725,Murray Wallace,sct SCO,DF,Millwall,31,1993,8.1,0,5,1,20,0.61,0.12,0,0,0,0,Matches,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,,,,,,,,
726,Joe Walsh,eng ENG,GK,Queens Park Rangers,22,2002,1,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
727,Liam Walsh,eng ENG,MF,Luton Town,26,1997,15.7,0,23,6,26.1,1.47,0.38,0,0,0,0,Matches,,,,,,,,
728,Reuell Walters,eng ENG,"DF,MF",Luton Town,19,2004,10.9,0,2,0,0,0.18,0,0,,0,0,Matches,,,,,,,,
729,Joe Ward,eng ENG,DF,Derby County,28,1995,1.7,0,1,1,100,0.6,0.6,0,0,0,0,Matches,,,,,,,,
730,Duncan Watmore,eng ENG,MF,Millwall,30,1994,17.5,5,26,12,46.2,1.48,0.68,0.19,0.42,0,0,Matches,,,,,,,,
731,Tom Watson,eng ENG,MF,Sunderland,18,2006,9.9,2,26,5,19.2,2.63,0.51,0.08,0.4,0,0,Matches,,,,,,,,
732,Wout Weghorst,nl NED,FW,Burnley,31,1992,0.3,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
733,Andreas Weimann,at AUT,MF,Blackburn Rovers,32,1991,15.7,7,32,20,62.5,2.04,1.28,0.22,0.35,0,0,Matches,,,,,,,,
734,Nahki Wells,bm BER,FW,Bristol City,34,1990,22.8,10,56,26,46.4,2.46,1.14,0.16,0.35,1,1,Matches,,,,,,,,
735,Jack Whatmough,eng ENG,DF,Preston North End,27,1996,12.4,0,5,0,0,0.4,0,0,,0,0,Matches,,,,,,,,
736,Lennon Wheeldon,eng ENG,FW,Derby County,17,2006,0,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
737,Ben Whiteman,eng ENG,MF,Preston North End,28,1996,27.7,0,25,5,20,0.9,0.18,0,0,0,0,Matches,,,,,,,,
738,Morgan Whittaker,eng ENG,MF,Plymouth Argyle,23,2001,19.4,3,53,16,30.2,2.73,0.82,0.06,0.19,0,0,Matches,,,,,,,,
739,Morgan Whittaker,eng ENG,MF,Middlesbrough,23,2001,11,0,32,9,28.1,2.91,0.82,0,0,0,0,Matches,,,,,,,,
740,Harry Whitwell,eng ENG,MF,West Bromwich Albion,18,2005,0.1,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
741,Jacob Widell Zetterström,se SWE,GK,Derby County,26,1998,40,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
742,Joe Wildsmith,eng ENG,GK,West Bromwich Albion,28,1995,10,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
743,Caleb Wiley,us USA,"DF,MF",Watford,19,2004,8,0,3,0,0,0.37,0,0,,0,0,Matches,,,,,,,,
744,Joe Williams,eng ENG,MF,Bristol City,27,1996,15.7,0,11,0,0,0.7,0,0,,0,0,Matches,,,,,,,,
745,Jordan Williams,eng ENG,DF,Portsmouth,24,1999,14.1,0,1,0,0,0.07,0,0,,0,0,Matches,,,,,,,,
746,Chris Willock,eng ENG,"MF,FW",Cardiff City,26,1998,17.2,2,28,7,25,1.63,0.41,0.07,0.29,0,0,Matches,,,,,,,,
747,Ben Wilmot,eng ENG,DF,Stoke City,24,1999,36,3,22,7,31.8,0.61,0.19,0.14,0.43,0,0,Matches,,,,,,,,
748,Ben Wilson,eng ENG,GK,Coventry City,31,1992,4,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
749,Kane Wilson,eng ENG,"DF,MF",Derby County,24,2000,27,2,24,9,37.5,0.89,0.33,0.08,0.22,0,0,Matches,,,,,,,,
750,Josh Wilson-Esbrand,eng ENG,"DF,MF",Stoke City,21,2002,3,0,3,1,33.3,1,0.33,0,0,0,0,Matches,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,,,,,,,,
751,Josh Windass,eng ENG,"MF,FW",Sheffield Weds,30,1994,35.8,13,109,39,35.8,3.04,1.09,0.11,0.31,1,2,Matches,,,,,,,,
752,Ryan Wintle,eng ENG,MF,Millwall,27,1997,5.7,1,8,2,25,1.4,0.35,0.13,0.5,0,0,Matches,,,,,,,,
753,Maximilian Wöber,at AUT,DF,Leeds United,26,1998,3.7,1,11,2,18.2,2.96,0.54,0.09,0.5,0,0,Matches,,,,,,,,
754,Freddie Woodman,eng ENG,GK,Preston North End,27,1997,37,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
755,Cauley Woodrow,eng ENG,MF,Blackburn Rovers,29,1994,2.5,0,3,1,33.3,1.22,0.41,0,0,0,0,Matches,,,,,,,,
756,Cauley Woodrow,eng ENG,FW,Luton Town,29,1994,3,0,7,4,57.1,2.33,1.33,0,0,0,0,Matches,,,,,,,,
757,Joe Worrall,eng ENG,DF,Burnley,27,1997,3.2,0,2,0,0,0.63,0,0,,0,0,Matches,,,,,,,,
758,Callum Wright,eng ENG,MF,Plymouth Argyle,24,2000,16.2,1,22,3,13.6,1.35,0.18,0.05,0.33,0,0,Matches,,,,,,,,
759,Haji Wright,us USA,"MF,FW",Coventry City,26,1998,21.6,12,63,27,42.9,2.91,1.25,0.17,0.41,1,1,Matches,,,,,,,,
760,Jacob Wright,eng ENG,MF,Norwich City,18,2005,9.9,0,7,1,14.3,0.71,0.1,0,0,0,0,Matches,,,,,,,,
761,Jerry Yates,eng ENG,FW,Derby County,27,1996,38,10,58,24,41.4,1.53,0.63,0.16,0.38,1,1,Matches,,,,,,,,
762,Kusini Yengi,au AUS,FW,Portsmouth,25,1999,6,0,8,0,0,1.34,0,0,,0,0,Matches,,,,,,,,
763,Óscar Zambrano,ec ECU,MF,Hull City,20,2004,4.3,1,7,1,14.3,1.62,0.23,0.14,1,0,0,Matches,,,,,,,,
764,Anass Zaroury,ma MAR,"FW,MF",Burnley,23,2000,0.3,0,0,0,,0,0,,,0,0,Matches,,,,,,,,
765,Stefán Þórðarson,is ISL,MF,Preston North End,25,1998,27.8,3,32,7,21.9,1.15,0.25,0.09,0.43,0,0,Matches,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
