Performance,,,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
211,Inih Effiong,eng ENG,"FW,MF",Braintree Town,33,1991,15.4,4,0,0,,,,,,,,,0,Matches
212,Inih Effiong,eng ENG,FW,Woking,33,1991,18.4,2,0,0,,,,,,,,,0,Matches
213,Dan Ellison,eng ENG,DF,Aldershot Town,19,2005,17.3,7,1,1,,,,,,,,,0,Matches
214,Josh Emmanuel,eng ENG,DF,FC Halifax Town,26,1997,10.3,0,0,0,,,,,,,,,0,Matches
215,Zac Emmerson,eng ENG,"FW,MF",FC Halifax Town,19,2004,13.8,1,0,0,,,,,,,,,0,Matches
216,Beck-Ray Enoru,cm CMR,MF,Tamworth,21,2002,18,2,0,0,,,,,,,,,0,Matches
217,Corry Evans,nir NIR,MF,Oldham Athletic,34,1990,1.8,0,0,0,,,,,,,,,0,Matches
218,George Evans,eng ENG,GK,Sutton United,19,2005,1,0,0,0,,,,,,,,,0,Matches
219,Jack Evans,eng ENG,"MF,DF",FC Halifax Town,23,2000,33.8,4,0,0,,,,,,,,,0,Matches
220,Owen Evans,wls WAL,GK,Barnet,27,1996,18,3,0,0,,,,,,,,,0,Matches
221,Owen Evans,eng ENG,"DF,MF",Fylde,23,2000,26.4,2,0,0,,,,,,,,,1,Matches
222,Dubem Eze,eng ENG,MF,FC Halifax Town,19,2005,1.2,0,0,0,,,,,,,,,0,Matches
223,Mo Fadera,gm GAM,FW,York City,19,2004,0.5,0,0,0,,,,,,,,,0,Matches
224,Malachi Fagan-Walcott,eng ENG,"DF,MF",York City,22,2002,36.6,6,0,0,,,,,,,,,0,Matches
225,Luke Fairlamb,eng ENG,DF,Tamworth,30,1993,25.9,3,0,0,,,,,,,,,0,Matches
