"number";"player";"team";"apps";"min";"goals";"NPG";"a";"xG";"NPxG";"xA";"xGChain";"xGBuildup";"xG90";"NPxG90";"xA90";"xG90xA90";"NPxG90xA90";"xGChain90";"xGBuildup90"
90;"Stephan El Shaarawy";"Roma";31;1075;3;3;4;2.97;2.97;1.22;8.56;5.53;0.25;0.25;0.1;0.35;0.35;0.72;0.46
91;"Nicolò Barella";"Inter";33;2485;3;3;6;2.02;2.02;4.79;14.61;11.28;0.07;0.07;0.17;0.25;0.25;0.53;0.41
92;"Matteo Politano";"Napoli";37;2881;3;3;4;3.65;3.65;6.11;14.72;9.3;0.11;0.11;0.19;0.3;0.3;0.46;0.29
93;"Stefan de Vrij";"Inter";26;1719;3;3;0;1.87;1.87;0.06;8.95;8.35;0.1;0.1;0;0.1;0.1;0.47;0.44
94;"Pietro Pellegri";"Empoli";11;411;3;3;0;0.52;0.52;0.61;1.55;0.51;0.11;0.11;0.13;0.25;0.25;0.34;0.11
95;"Hernani";"Parma Calcio 1913";25;1330;3;0;3;2.77;0.48;2.09;3.77;2.65;0.19;0.03;0.14;0.33;0.17;0.25;0.18
96;"Nicolas Viola";"Cagliari";27;1293;3;3;1;3.04;3.04;3.01;5.71;2.68;0.21;0.21;0.21;0.42;0.42;0.4;0.19
97;"Yann Bisseck";"Inter";27;1646;3;3;2;2.45;2.45;1.47;9.75;8.01;0.13;0.13;0.08;0.21;0.21;0.53;0.44
98;"Giovanni Di Lorenzo";"Napoli";37;3330;3;3;2;3.56;3.56;4.06;13.79;11.08;0.1;0.1;0.11;0.21;0.21;0.37;0.3
99;"Nicolás González";"Juventus";26;1789;3;3;2;4.39;4.39;1.32;7.83;3.53;0.22;0.22;0.07;0.29;0.29;0.39;0.18
100;"Samuel Chukwueze";"AC Milan";26;910;3;3;2;2.79;2.79;3.15;6.9;2.53;0.28;0.28;0.31;0.59;0.59;0.68;0.25
101;"Lucas Da Cunha";"Como";36;2639;3;3;2;1.58;1.58;4.6;11.01;8.99;0.05;0.05;0.16;0.21;0.21;0.38;0.31
102;"Razvan Marin";"Cagliari";33;1374;3;1;2;2.2;0.68;3.31;7.72;5.91;0.14;0.04;0.22;0.36;0.26;0.51;0.39
103;"Tete Morente";"Lecce";31;2036;3;3;2;3.1;3.1;1.83;7.27;2.67;0.14;0.14;0.08;0.22;0.22;0.32;0.12
104;"Matteo Cancellieri";"Parma Calcio 1913";27;1453;3;3;0;2.51;2.51;0.54;3.89;1.22;0.16;0.16;0.03;0.19;0.19;0.24;0.08
105;"Koni de Winter";"Genoa";25;2132;3;3;0;2.77;2.77;0.27;6.33;6.26;0.12;0.12;0.01;0.13;0.13;0.27;0.26
106;"Fabio Miretti";"Genoa";25;1718;3;3;3;3.49;3.49;2.24;6.61;2.1;0.18;0.18;0.12;0.3;0.3;0.35;0.11
107;"Teun Koopmeiners";"Juventus";28;1998;3;3;3;4.89;4.89;2.56;9.23;3.93;0.22;0.22;0.12;0.34;0.34;0.42;0.18
108;"Johan Vásquez";"Genoa";36;3036;3;3;0;2.44;2.44;0.33;5.9;5.49;0.07;0.07;0.01;0.08;0.08;0.17;0.16
109;"Jurgen Ekkelenkamp";"Udinese";34;1884;3;3;2;3.13;3.13;1.63;7.97;4.54;0.15;0.15;0.08;0.23;0.23;0.38;0.22
110;"Thijs Dallinga";"Bologna";31;1124;3;3;2;5.54;5.54;0.54;6.43;0.66;0.44;0.44;0.04;0.49;0.49;0.52;0.05
111;"Carlos Augusto";"Inter";29;1658;3;3;2;3.48;3.48;1.92;9.38;7.55;0.19;0.19;0.1;0.29;0.29;0.51;0.41
112;"Samuele Birindelli";"Monza";21;1497;3;3;0;1.89;1.89;1.68;6.66;3.37;0.11;0.11;0.1;0.21;0.21;0.4;0.2
113;"Gvidas Gineitis";"Torino";30;1431;3;3;1;1.85;1.85;2.17;5.02;2.37;0.12;0.12;0.14;0.25;0.25;0.32;0.15
114;"Patrick Dorgu";"Lecce";21;1843;3;3;1;3.16;3.16;1.51;8.15;4.31;0.15;0.15;0.07;0.23;0.23;0.4;0.21
115;"Gaetano Oristanio";"Venezia";37;2353;3;3;3;5.69;5.69;2.33;8.79;2.13;0.22;0.22;0.09;0.31;0.31;0.34;0.08
116;"Giovanni Fabbian";"Bologna";30;992;3;3;1;2.88;2.88;1.51;3.63;1.37;0.26;0.26;0.14;0.4;0.4;0.33;0.12
117;"Fisayo Dele-Bashiru";"Lazio";20;947;3;3;1;1.49;1.49;0.79;3.4;1.46;0.14;0.14;0.08;0.22;0.22;0.32;0.14
118;"Samuel Mbangula";"Juventus";23;687;3;3;3;0.46;0.46;1.75;3.58;1.59;0.06;0.06;0.23;0.29;0.29;0.47;0.21
119;"Francisco Conceição";"Juventus";26;1320;3;3;3;3.13;3.13;4.41;12.87;7.61;0.21;0.21;0.3;0.51;0.51;0.88;0.52
120;"Benjamín Domínguez";"Bologna";24;1309;3;3;2;2.43;2.43;0.73;6.14;3.65;0.17;0.17;0.05;0.22;0.22;0.42;0.25
121;"Mateo Pellegrino";"Parma Calcio 1913";13;742;3;3;1;4.88;4.88;0.43;5.23;1.59;0.59;0.59;0.05;0.64;0.64;0.63;0.19
122;"Suat Serdar";"Verona";22;1380;2;2;1;1.62;1.62;1.06;4;1.92;0.11;0.11;0.07;0.17;0.17;0.26;0.13
123;"Angelino";"Roma";38;3182;2;2;1;1.42;1.42;5.52;13.31;9.54;0.04;0.04;0.16;0.2;0.2;0.38;0.27
124;"Keinan Davis";"Udinese";23;1049;2;2;1;3.07;3.07;2.45;5.5;1.12;0.26;0.26;0.21;0.47;0.47;0.47;0.1
125;"Leonardo Pavoletti";"Cagliari";26;377;2;2;0;2.77;2.77;1.39;5.62;1.96;0.66;0.66;0.33;0.99;0.99;1.34;0.47
126;"Darko Lazovic";"Verona";27;1467;2;1;3;2.92;2.16;3.62;6.41;0.99;0.18;0.13;0.22;0.4;0.35;0.39;0.06
127;"Alessio Romagnoli";"Lazio";32;2676;2;2;0;3.57;3.57;0.7;10.54;10.25;0.12;0.12;0.02;0.14;0.14;0.35;0.34
