Performance,,,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
190,Greg Docherty,sct SCO,MF,Charlton Athletic,27,1996,35.1,6,1,0,49,28,3,30,27,37,,,0,Matches
191,Owen Dodgson,eng ENG,"MF,DF",Burton Albion,21,2003,20.8,10,0,0,16,17,1,171,18,16,,,0,Matches
192,Jamie Donley,nir NIR,MF,Leyton Orient,19,2005,30.6,3,0,0,32,24,6,114,3,38,,,0,Matches
193,Romelle Donovan,eng ENG,MF,Burton Albion,17,2006,2,0,0,0,3,5,0,5,0,4,,,0,Matches
194,James Dornelly,eng ENG,DF,Peterborough United,19,2005,18.6,6,0,0,19,8,3,17,7,19,,,0,Matches
195,Jeriel Dorsett,ms MSR,DF,Reading,22,2002,9.1,0,0,0,4,13,0,13,9,11,,,0,Matches
196,Hamish Douglas,eng ENG,MF,Rotherham United,19,2005,0.3,1,0,0,1,0,0,0,0,0,,,0,Matches
197,Kieran Dowell,eng ENG,MF,Birmingham City,26,1997,16.2,2,0,0,16,10,1,93,8,17,,,0,Matches
198,Kamari Doyle,eng ENG,"MF,FW",Exeter City,18,2005,9.1,1,0,0,16,13,1,55,5,15,,,0,Matches
199,Kamari Doyle,eng ENG,"FW,MF",Crawley Town,18,2005,14.5,0,0,0,13,17,7,40,3,14,,,1,Matches
200,Freddie Draper,eng ENG,FW,Lincoln City,20,2004,14.2,3,0,0,52,21,5,7,5,13,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
201,Dylan Duffy,ie IRL,MF,Lincoln City,21,2002,3.3,2,0,0,7,5,1,17,3,4,,,0,Matches
202,Paul Dummett,wls WAL,DF,Wigan Athletic,32,1991,0.4,0,0,0,1,0,0,0,0,1,,,0,Matches
203,Dom Dwyer,us USA,FW,Mansfield Town,34,1990,4.9,0,0,0,9,4,8,0,1,2,,,0,Matches
204,Max Dyche,eng ENG,DF,Northampton Town,21,2003,14.8,3,0,0,19,12,0,3,10,12,,,0,Matches
205,Josiah Dyer,ms MSR,FW,Barnsley,19,2004,0,0,0,0,0,0,0,0,0,0,,,0,Matches
206,Lyndon Dykes,sct SCO,"FW,MF",Birmingham City,28,1995,10.5,2,0,0,18,10,2,5,0,7,,,0,Matches
