Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
344,Senny Mayulu,fr FRA,MF,Paris Saint-Germain,18,2006,20,8,808,9,2,2,4,2,0,0,1,0,0.22,0.22,0.45,0.22,0.45,Matches
345,Ethan Mbappé,fr FRA,MF,Lille,17,2006,10,1,222,2.5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
346,Ibrahim Mbaye,sn SEN,FW,Paris Saint-Germain,16,2008,9,4,340,3.8,1,1,2,1,0,0,0,0,0.26,0.26,0.53,0.26,0.53,Matches
347,Mark McKenzie,us USA,DF,Toulouse,25,1999,30,29,"2,496",27.7,1,1,2,1,0,0,1,1,0.04,0.04,0.07,0.04,0.07,Matches
348,Facundo Medina,ar ARG,DF,Lens,25,1999,29,29,"2,543",28.3,0,1,1,0,0,0,15,1,0,0.04,0.04,0,0.04,Matches
349,Henrik Meister,dk DEN,FW,Rennes,20,2003,4,0,63,0.7,1,0,1,1,0,0,0,0,1.43,0,1.43,1.43,1.43,Matches
350,Bamo Meïté,ci CIV,DF,Montpellier,22,2001,7,6,424,4.7,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
351,Bamo Meïté,ci CIV,DF,Marseille,22,2001,3,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
352,Kader Meïté,fr FRA,FW,Rennes,16,2007,12,5,544,6,2,0,2,2,0,0,0,0,0.33,0,0.33,0.33,0.33,Matches
353,Farid El Melali,dz ALG,"MF,FW",Angers,27,1997,32,22,"1,893",21,2,3,5,2,0,0,1,0,0.1,0.14,0.24,0.1,0.24,Matches
354,Nuno Mendes,pt POR,DF,Paris Saint-Germain,22,2002,24,19,"1,676",18.6,1,3,4,1,0,0,3,0,0.05,0.16,0.21,0.05,0.21,Matches
355,Antoine Mendy,sn SEN,"DF,MF",Nice,20,2004,18,8,825,9.2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
356,Nampalys Mendy,sn SEN,MF,Lens,32,1992,10,7,588,6.5,0,1,1,0,0,0,2,0,0,0.15,0.15,0,0.15,Matches
357,Gideon Mensah,gh GHA,"DF,MF",Auxerre,26,1998,29,26,"2,280",25.3,0,1,1,0,0,0,2,0,0,0.04,0.04,0,0.04,Matches
358,Quentin Merlin,fr FRA,"MF,DF",Marseille,22,2002,27,21,"1,589",17.7,1,3,4,1,0,0,1,0,0.06,0.17,0.23,0.06,0.23,Matches
359,Rafik Messali,fr FRA,MF,Toulouse,21,2003,13,5,456,5.1,0,1,1,0,0,0,0,0,0,0.2,0.2,0,0.2,Matches
360,Thomas Meunier,be BEL,DF,Lille,32,1991,30,21,"1,928",21.4,2,0,2,2,0,0,5,0,0.09,0,0.09,0.09,0.09,Matches
361,Lucas Michal,fr FRA,FW,Monaco,19,2005,8,0,117,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
362,Georges Mikautadze,ge GEO,"FW,MF",Lyon,23,2000,34,13,"1,449",16.1,11,6,17,8,3,4,2,0,0.68,0.37,1.06,0.5,0.87,Matches
363,Igor Miladinović,rs SRB,MF,Saint-Étienne,21,2003,3,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
364,Takumi Minamino,jp JPN,MF,Monaco,29,1995,31,27,"2,231",24.8,6,3,9,6,0,0,4,0,0.24,0.12,0.36,0.24,0.36,Matches
365,Lucas Mincarelli,fr FRA,DF,Montpellier,20,2004,10,8,715,7.9,1,0,1,1,0,0,0,0,0.13,0,0.13,0.13,0.13,Matches
366,Terem Moffi,ng NGA,FW,Nice,25,1999,5,0,58,0.6,1,0,1,1,0,0,0,0,1.55,0,1.55,1.55,1.55,Matches
367,Mostafa Mohamed,eg EGY,FW,Nantes,26,1997,30,11,"1,252",13.9,5,0,5,5,0,0,3,0,0.36,0,0.36,0.36,0.36,Matches
368,Florent Mollet,fr FRA,MF,Nantes,32,1991,9,3,242,2.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
369,Diego Moreira,be BEL,"MF,DF",Strasbourg,19,2004,32,29,"2,568",28.5,2,7,9,2,0,0,4,1,0.07,0.25,0.32,0.07,0.32,Matches
370,Gabriel Moscardo,br BRA,MF,Reims,18,2005,6,0,84,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
371,Yael Mouanga,fr FRA,DF,Montpellier,19,2005,14,10,946,10.5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
372,Aimen Moueffek,fr FRA,MF,Saint-Étienne,23,2001,22,13,"1,039",11.5,0,1,1,0,0,0,2,0,0,0.09,0.09,0,0.09,Matches
373,Youssoufa Moukoko,de GER,FW,Nice,19,2004,11,2,204,2.3,2,1,3,2,0,0,0,0,0.88,0.44,1.32,0.88,1.32,Matches
374,Louis Mouton,fr FRA,MF,Saint-Étienne,22,2002,24,12,"1,045",11.6,0,1,1,0,0,0,2,0,0,0.09,0.09,0,0.09,Matches
375,Ngal'Ayel Mukau,cd COD,MF,Lille,19,2004,22,14,"1,190",13.2,0,1,1,0,0,0,4,0,0,0.08,0.08,0,0.08,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
376,Marshall Munetsi,zw ZIM,MF,Reims,28,1996,19,19,"1,692",18.8,4,2,6,4,0,0,5,0,0.21,0.11,0.32,0.21,0.32,Matches
377,Almoatasem Al Musrati,ly LBY,MF,Monaco,28,1996,10,3,386,4.3,1,1,2,1,0,0,0,0,0.23,0.23,0.47,0.23,0.47,Matches
378,Junior Mwanga,fr FRA,MF,Le Havre,21,2003,11,11,952,10.6,1,2,3,1,0,0,1,1,0.09,0.19,0.28,0.09,0.28,Matches
379,Junior Mwanga,fr FRA,MF,Strasbourg,21,2003,8,2,296,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
380,Loïc N'Gatta,fr FRA,DF,Auxerre,20,2003,2,0,13,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
381,Djylian N'Guessan,fr FRA,FW,Saint-Étienne,15,2008,8,3,181,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
382,Mickael Nade,fr FRA,DF,Saint-Étienne,25,1999,26,25,"2,306",25.6,1,2,3,1,0,0,1,0,0.04,0.08,0.12,0.04,0.12,Matches
383,Bilal Nadir,ma MAR,MF,Marseille,20,2003,15,5,383,4.3,1,0,1,1,0,0,2,0,0.23,0,0.23,0.23,0.23,Matches
384,Mahamadou Nagida,cm CMR,MF,Rennes,19,2005,12,4,430,4.8,2,0,2,2,0,0,1,0,0.42,0,0.42,0.42,0.42,Matches
385,Keito Nakamura,jp JPN,"MF,FW",Reims,24,2000,32,31,"2,649",29.4,11,2,13,11,0,0,5,0,0.37,0.07,0.44,0.37,0.44,Matches
386,Sebastian Nanasi,se SWE,"MF,FW",Strasbourg,22,2002,31,26,"2,107",23.4,6,4,10,6,0,0,1,0,0.26,0.17,0.43,0.26,0.43,Matches
387,Yael Nandjou,fr FRA,DF,Nice,19,2005,3,2,154,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
388,Youssouf Ndayishimiye,bi BDI,DF,Nice,25,1998,23,22,"1,932",21.5,3,0,3,3,0,0,5,0,0.14,0,0.14,0.14,0.14,Matches
389,Junior Ndiaye,ae UAE,FW,Montpellier,19,2005,15,4,441,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
390,Rassoul Ndiaye,sn SEN,MF,Le Havre,22,2001,27,11,"1,061",11.8,1,0,1,1,0,0,2,0,0.08,0,0.08,0.08,0.08,Matches
391,Wilfried Ndollo,cm CMR,DF,Montpellier,19,2005,8,3,401,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
392,Tanguy Ndombele,fr FRA,MF,Nice,27,1996,18,12,"1,131",12.6,1,2,3,1,0,0,2,0,0.08,0.16,0.24,0.08,0.24,Matches
