"number";"player";"team";"apps";"min";"goals";"NPG";"a";"xG";"NPxG";"xA";"xGChain";"xGBuildup";"xG90";"NPxG90";"xA90";"xG90xA90";"NPxG90xA90";"xGChain90";"xGBuildup90"
450;"Carl Johansson";"Holstein Kiel";10;570;0;0;0;0.02;0.02;0.59;1.74;1.66;0;0;0.09;0.1;0.1;0.27;0.26
451;"Hong Hyun-Seok";"Mainz 05";23;474;0;0;1;0.66;0.66;1.82;3.79;2.14;0.13;0.13;0.35;0.47;0.47;0.72;0.41
452;"Henri Koudossou";"Augsburg";21;710;0;0;0;0.08;0.08;0.94;4.21;3.76;0.01;0.01;0.12;0.13;0.13;0.53;0.48
453;"Almugera Kabar";"Borussia Dortmund";5;125;0;0;0;0;0;0.69;0.77;0.13;0;0;0.5;0.5;0.5;0.55;0.09
454;"Konstantinos Koulierakis";"Wolfsburg";30;2478;0;0;2;1.09;1.09;1.27;6.42;6.07;0.04;0.04;0.05;0.09;0.09;0.23;0.22
455;"Dominik Javorcek";"Holstein Kiel";13;367;0;0;2;0.01;0.01;0.84;1.44;0.77;0;0;0.21;0.21;0.21;0.35;0.19
456;"Cole Campbell";"Borussia Dortmund";4;16;0;0;0;0;0;0;0.08;0.08;0;0;0;0;0;0.45;0.45
457;"Yannik Lührs";"Borussia Dortmund";3;121;0;0;0;0;0;0.03;0.11;0.11;0;0;0.02;0.02;0.02;0.08;0.08
458;"Noahkai Banks";"Augsburg";8;260;0;0;0;0.07;0.07;0;0.15;0.15;0.02;0.02;0;0.02;0.02;0.05;0.05
459;"Erik Ahlstrand";"St. Pauli";5;34;0;0;0;0;0;0;0.17;0.17;0;0;0;0;0;0.45;0.45
460;"Assan Ouédraogo";"RasenBallsport Leipzig";3;41;0;0;0;0.03;0.03;0;0.03;0;0.06;0.06;0;0.06;0.06;0.06;0
461;"Jarzinho Malanga";"VfB Stuttgart";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
462;"Faik Sakar";"RasenBallsport Leipzig";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
463;"Maurides";"St. Pauli";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
464;"Jonah Kusi-Asare";"Bayern Munich";1;1;0;0;0;0.07;0.07;0;0;0;6.43;6.43;0;6.43;6.43;0;0
465;"Noah Pesch";"Borussia M.Gladbach";1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
466;"Paul Hennrich";"Hoffenheim";1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
467;"David Mokwa";"Hoffenheim";2;14;0;0;0;0.13;0.13;0;0.07;0;0.83;0.83;0;0.83;0.83;0.44;0
468;"Erencan Yardimci";"Hoffenheim";8;310;0;0;0;0.84;0.84;0;0.95;0.26;0.24;0.24;0;0.24;0.24;0.28;0.07
469;"James Sands";"St. Pauli";7;451;0;0;0;0.08;0.08;0.01;1.45;1.44;0.02;0.02;0;0.02;0.02;0.29;0.29
