Performance,,,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
176,Jamie Cumming,eng ENG,GK,Oxford United,24,1999,45,1,0,0,1,7,0,0,1,0,,,1,Matches
177,Luke Cundle,eng ENG,MF,Millwall,22,2002,10.9,2,0,0,29,13,1,3,8,10,,,0,Matches
178,Jesper Daland,no NOR,DF,Cardiff City,24,2000,15.9,2,0,0,12,3,2,4,11,7,,,0,Matches
179,Owen Dale,eng ENG,MF,Oxford United,25,1998,3.9,0,0,0,8,4,1,7,4,4,,,0,Matches
180,Harry Darling,eng ENG,DF,Swansea City,24,1999,37.1,4,1,0,19,54,8,2,28,15,,,0,Matches
181,Karl Darlow,wls WAL,GK,Leeds United,33,1990,7,1,0,0,1,0,0,0,0,0,,,0,Matches
182,Jay Dasilva,wls WAL,"DF,MF",Coventry City,26,1998,20.1,2,1,0,22,5,1,49,23,38,,,0,Matches
183,Adam Davies,wls WAL,GK,Sheffield United,32,1992,3,0,0,0,0,0,0,0,0,0,,,0,Matches
184,Isaak Davies,wls WAL,MF,Cardiff City,22,2001,3.2,1,0,0,4,5,1,10,1,6,,,0,Matches
185,Tom Davies,eng ENG,MF,Sheffield United,26,1998,7.5,4,0,0,9,17,0,5,5,15,,,0,Matches
186,James Debayo,eng ENG,DF,Leeds United,19,2005,0,0,0,0,0,0,0,0,0,0,,,0,Matches
187,Hannes Delcroix,ht HAI,DF,Swansea City,25,1999,9.9,2,0,0,12,4,0,1,13,20,,,0,Matches
188,Tom Dele-Bashiru,ng NGA,MF,Watford,24,1999,22.9,0,0,0,19,41,0,3,19,17,,,0,Matches
189,Karamoko Dembélé,eng ENG,MF,Queens Park Rangers,21,2003,13.2,2,0,0,11,37,4,59,6,9,,,0,Matches
190,Siriki Dembélé,ci CIV,MF,Oxford United,27,1996,15.2,2,0,0,18,46,4,38,9,19,,,0,Matches
191,Rav van den Berg,nl NED,DF,Middlesbrough,20,2004,23.6,4,1,1,15,8,1,1,24,16,,,0,Matches
192,Emmanuel Dennis,ng NGA,MF,Blackburn Rovers,26,1997,1.8,3,1,1,6,6,0,2,1,1,,,0,Matches
193,Terry Devlin,nir NIR,"DF,MF",Portsmouth,20,2003,17.4,2,0,0,18,25,2,20,37,20,,,0,Matches
194,Ousmane Diakité,ml MLI,"MF,DF",West Bromwich Albion,24,2000,9.6,1,0,0,10,17,0,0,17,16,,,0,Matches
195,Grady Diangana,cd COD,"MF,FW",West Bromwich Albion,26,1998,16.6,1,0,0,22,37,3,13,8,25,,,0,Matches
196,Robert Dickie,eng ENG,DF,Bristol City,28,1996,34.7,5,1,0,15,34,0,0,38,24,,,0,Matches
197,Seny Dieng,sn SEN,GK,Middlesbrough,29,1994,17,0,0,0,0,2,0,1,0,0,,,1,Matches
198,Anfernee Dijksteel,sr SUR,DF,Middlesbrough,27,1996,28.1,5,0,0,23,46,0,21,31,41,,,1,Matches
199,Daryl Dike,us USA,MF,West Bromwich Albion,24,2000,2.5,1,0,0,8,7,1,0,0,1,,,0,Matches
200,Jaden Dixon,eng ENG,DF,Stoke City,17,2007,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
201,Elijah Dixon-Bonner,eng ENG,MF,Queens Park Rangers,23,2001,0.1,1,0,0,1,0,0,1,0,0,,,0,Matches
202,Lewis Dobbin,eng ENG,"FW,MF",Norwich City,21,2003,7.1,1,0,0,7,10,2,9,0,5,,,0,Matches
203,Lewis Dobbin,eng ENG,MF,West Bromwich Albion,21,2003,3.8,0,0,0,2,7,1,4,2,3,,,0,Matches
204,Tyrhys Dolan,eng ENG,MF,Blackburn Rovers,22,2001,35.3,12,0,0,41,54,19,63,28,39,,,0,Matches
205,Alfie Doughty,eng ENG,MF,Luton Town,24,1999,22.6,5,0,0,34,7,4,277,30,41,,,0,Matches
