Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Rk_shooting,Nation_shooting,Pos_shooting,Age_shooting,Born_shooting,90s_shooting,Gls_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting,PKatt_shooting,Rk_goalkeeping,Nation_goalkeeping,Pos_goalkeeping,Age_goalkeeping,Born_goalkeeping,MP_goalkeeping,Starts_goalkeeping,Min_goalkeeping,90s_goalkeeping,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_goalkeeping,PKA,PKsv,PKm,Save%.1,League
90,Antonio Blanco,es ESP,MF,Alavés,24,2000,35,32,"2,727",30.3,0,1,1,0,0,0,11,1,0,0.03,0.03,0,0.03,90,es ESP,MF,24,2000,30.3,0,25,3,12,0.83,0.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
109,Antonio Candela,it ITA,DF,Valladolid,24,2000,12,12,906,10.1,0,0,0,0,0,0,1,0,0,0,0,0,0,109,it ITA,DF,24,2000,10.1,0,1,0,0,0.1,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
462,Antonio Raillo,es ESP,DF,Mallorca,32,1991,36,36,"3,207",35.6,2,0,2,2,0,0,7,1,0.06,0,0.06,0.06,0.06,462,es ESP,DF,32,1991,35.6,2,35,8,22.9,0.98,0.22,0.06,0.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
501,Antonio Rüdiger,de GER,DF,Real Madrid,31,1993,29,26,"2,291",25.5,0,0,0,0,0,0,3,0,0,0,0,0,0,501,de GER,DF,31,1993,25.5,0,24,4,16.7,0.94,0.16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
530,Antonio Sivera,es ESP,GK,Alavés,27,1996,32,32,"2,810",31.2,0,0,0,0,0,0,6,1,0,0,0,0,0,530,es ESP,GK,27,1996,31.2,0,0,0,,0,0,,,0,0,39,es ESP,GK,27,1996,32,32,"2,810",31.2,39,1.25,106,75,71.7,9,10,13,9,28.1,9,9,0,0,0,La Liga
514,Antonio Sánchez,es ESP,"MF,DF",Mallorca,27,1997,33,12,"1,395",15.5,0,0,0,0,0,0,3,0,0,0,0,0,0,514,es ESP,"MF,DF",27,1997,15.5,0,17,2,11.8,1.1,0.13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
35,Antoniu,es ESP,MF,Espanyol,21,2002,26,13,"1,022",11.4,0,1,1,0,0,0,3,0,0,0.09,0.09,0,0.09,35,es ESP,MF,21,2002,11.4,0,10,4,40,0.88,0.35,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
36,Antony,br BRA,MF,Real Betis,24,2000,17,15,"1,362",15.1,5,2,7,5,0,0,2,1,0.33,0.13,0.46,0.33,0.46,36,br BRA,MF,24,2000,15.1,5,43,17,39.5,2.84,1.12,0.12,0.29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
37,Anuar,ma MAR,"MF,FW",Valladolid,29,1995,26,21,"1,720",19.1,2,0,2,2,0,0,7,0,0.1,0,0.1,0.1,0.1,37,ma MAR,"MF,FW",29,1995,19.1,2,11,6,54.5,0.58,0.31,0.18,0.33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
246,Arda Güler,tr TUR,"MF,FW",Real Madrid,19,2005,28,14,"1,250",13.9,3,4,7,3,0,0,1,0,0.22,0.29,0.5,0.22,0.5,246,tr TUR,"MF,FW",19,2005,13.9,3,39,17,43.6,2.81,1.22,0.08,0.18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,La Liga
