Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Rk_shooting,Nation_shooting,Pos_shooting,Age_shooting,Born_shooting,90s_shooting,Gls_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting,PKatt_shooting,Rk_goalkeeping,Nation_goalkeeping,Pos_goalkeeping,Age_goalkeeping,Born_goalkeeping,MP_goalkeeping,Starts_goalkeeping,Min_goalkeeping,90s_goalkeeping,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_goalkeeping,PKA,PKsv,PKm,Save%.1,League
488,Antonio Raimondo,it ITA,FW,Venezia,20,2004,9,0,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,488,it ITA,FW,20,2004,1,0,1,1,100,0.96,0.96,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
517,Antonio Sanabria,py PAR,FW,Torino,28,1996,26,16,"1,318",14.6,2,1,3,2,0,1,2,0,0.14,0.07,0.2,0.14,0.2,517,py PAR,FW,28,1996,14.6,2,19,4,21.1,1.3,0.27,0.11,0.5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
43,Antonín Barák,cz CZE,MF,Fiorentina,29,1994,1,1,54,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,43,cz CZE,MF,29,1994,0.6,0,2,2,100,3.33,3.33,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
272,Ardian Ismajli,al ALB,DF,Empoli,27,1996,29,29,"2,508",27.9,0,0,0,0,0,0,3,0,0,0,0,0,0,272,al ALB,DF,27,1996,27.9,0,5,0,0,0.18,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
264,Arijon Ibrahimović,de GER,MF,Lazio,18,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,264,de GER,MF,18,2005,0.1,0,2,0,0,22.5,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
273,Armando Izzo,it ITA,DF,Monza,32,1992,30,28,"2,435",27.1,1,1,2,1,0,0,12,0,0.04,0.04,0.07,0.04,0.07,273,it ITA,DF,32,1992,27.1,1,6,2,33.3,0.22,0.07,0.17,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
178,Artem Dovbyk,ua UKR,FW,Roma,27,1997,32,27,"2,418",26.9,12,2,14,10,2,2,0,0,0.45,0.07,0.52,0.37,0.45,178,ua UKR,FW,27,1997,26.9,12,63,27,42.9,2.34,1,0.16,0.37,2,2,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
26,Arthur Atta,fr FRA,"MF,FW",Udinese,21,2003,27,12,"1,251",13.9,0,1,1,0,0,0,5,0,0,0.07,0.07,0,0.07,26,fr FRA,"MF,FW",21,2003,13.9,0,26,7,26.9,1.87,0.5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
82,Arvid Brorsson,se SWE,DF,Monza,25,1999,6,3,362,4,0,0,0,0,0,0,0,0,0,0,0,0,0,82,se SWE,DF,25,1999,4,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
169,Assane Diao,sn SEN,"MF,FW",Como,18,2005,15,14,"1,252",13.9,8,1,9,8,0,0,2,0,0.58,0.07,0.65,0.58,0.65,169,sn SEN,"MF,FW",18,2005,13.9,8,28,13,46.4,2.01,0.93,0.29,0.62,0,0,,,,,,,,,,,,,,,,,,,,,,,,,Serie A
